Date;Day;Item;Module Links and Content
"By First Class (Date)";--;--;"<a href="https://gabrielcook.xyz/fods24/modules/01_installing_r_and_rstudio.html">Introduction to R, RStudio, and R Markdown</a>", "<a href="https://gabrielcook.xyz/fods24/modules/01_installing_r_and_rstudio.html">video</a>"
27-Aug ;T;01;Introduction & Project Management
29-Aug ;R;02;Graphical Perception
03-Sept;T;03;Frame Manipulation and Wrangling
05-Sept;R;04;Data Subsets and Summaries
10-Sept;T;05;The Grammar of Graphics
12-Sept;R;06;Visualizing Amounts
17-Sept;T;07;Visualizing Associations
19-Sept;R;08;Spatial Position and Adjustment
24-Sept;T;09;Considerations in Data Visualization
26-Sept;R;10;Color Scales and Palettes
01-Oct ;T;11;Histograms and Density Plots
03-Oct ;R;12;"Coordinates, Axes and Position Scales"
08-Oct ;T;13;Statistical Transformations (Data as-is Versus Summaries)
10-Oct ;R;14;More Data Wrangling
15-Oct ;T;--;"<span style=""color:#ffa500"">Fall Break (no class)</span>"
17-Oct ;R;15;Visualizing More Distributions
22-Oct ;T;16;Visualizing Uncertainty
24-Oct ;R;--;"<span style=""color:#FF00FF"">Mid-Term Presentation</span>"
29-Oct ;T;18;Visualizing Trends
31-Oct ;R;19;Legends and Arrangement
NLT<br> 31-Oct ;--;--;"<span style=""color:#DE3163"">Mid-Term Presentation to Liaison</span>" (By End of Day)
05-Nov ;T;20;Designing Perceptually Efficient Visualizations
07-Nov ;R;21;Annotation and Text
12-Nov ;T;22;Multi-Panel Plots: Faceting and Layers
14-Nov ;R;24;Attentional Control and Tradeoffs
19-Nov ;T;23;Titles Captions & Tables
21-Nov ;T;24;Figure Design (Themes)
26-Nov ;R;--;"<span style=""color:#1EDAFB"">Thanksgiving Break (no class)</span>"
03-Dec ;T;--;Team Project Preparation
05-Dec ;R;--;"<span style=""color:#FFFFFF"">Presentation (Last day of Instruction)</span>"
NLT<br>13-Dec ;Fri;--;"<span style=""color:#FF00FF"">Finals Week: Final Push to Repo/Written Report</span>" (By Noon)
NLT<br>13-Dec ;Fri;--;"<span style=""color:#FF00FF"">Final Presentation to Liaison</span>" (By End of Day) - Do Not Schedule your Flights prior to presentation to liaison unless you obtain written approval that an online presentation is sufficient.
